TABLE  ,LTM_Filter_n1.5_to_Air,,,,
WAVE,0.4,0.12246,0.12248,0,0
WAVE,0.42,0.13652,0.12496,0,0
WAVE,0.44,0.14666,0.12676,0,0
WAVE,0.46,0.1516,0.12589,0,0
WAVE,0.48,0.15201,0.12217,0,0
WAVE,0.5,0.14716,0.11865,0,0
WAVE,0.52,0.14384,0.11969,0,0
WAVE,0.54,0.13701,0.11897,0,0
WAVE,0.56,0.13576,0.12864,0,0
WAVE,0.58,0.14044,0.14806,0,0
WAVE,0.6,0.14975,0.17133,0,0
WAVE,0.62,0.163,0.19665,0,0
WAVE,0.64,0.17995,0.22169,0,0
WAVE,0.66,0.19759,0.24555,0,0
WAVE,0.68,0.21521,0.26767,0,0
WAVE,0.7,0.23132,0.28683,0,0
WAVE,0.72,0.24606,0.30306,0,0
WAVE,0.74,0.25892,0.31493,0,0
WAVE,0.76,0.26977,0.323,0,0
WAVE,0.78,0.2794,0.32913,0,0
WAVE,0.8,0.2864,0.33174,0,0
WAVE,0.82,0.2932,0.33699,0,0
WAVE,0.84,0.30111,0.34428,0,0
WAVE,0.86,0.30973,0.35369,0,0
WAVE,0.88,0.31893,0.36663,0,0
WAVE,0.9,0.32973,0.38384,0,0
WAVE,0.92,0.34152,0.40351,0,0
WAVE,0.94,0.3551,0.42749,0,0
WAVE,0.96,0.36812,0.44938,0,0
WAVE,0.98,0.37957,0.46642,0,0
WAVE,1,0.39084,0.48269,0,0
ANGL,60,,,,
WAVE,0.3,0.17695,0.20278,0,0
WAVE,0.32,0.19709,0.19536,0,0
WAVE,0.34,0.21276,0.19778,0,0
WAVE,0.36,0.22255,0.20288,0,0
WAVE,0.38,0.23572,0.21718,0,0
WAVE,0.4,0.24985,0.22451,0,0
WAVE,0.42,0.26167,0.22815,0,0
WAVE,0.44,0.26933,0.22991,0,0
WAVE,0.46,0.27147,0.22829,0,0
WAVE,0.48,0.26886,0.22364,0,0
WAVE,0.5,0.26064,0.21978,0,0
WAVE,0.52,0.25457,0.22141,0,0
WAVE,0.54,0.24468,0.22155,0,0
WAVE,0.56,0.24157,0.23324,0,0
WAVE,0.58,0.24536,0.25479,0,0
WAVE,0.6,0.25422,0.27911,0,0
WAVE,0.62,0.26723,0.3043,0,0
WAVE,0.64,0.28412,0.32774,0,0
WAVE,0.66,0.30151,0.34915,0,0
WAVE,0.68,0.31872,0.36825,0,0
WAVE,0.7,0.33422,0.38367,0,0
WAVE,0.72,0.34824,0.39537,0,0
WAVE,0.74,0.36041,0.4017,0,0
WAVE,0.76,0.37061,0.40387,0,0
WAVE,0.78,0.37962,0.4043,0,0
WAVE,0.8,0.38606,0.40134,0,0
WAVE,0.82,0.39228,0.40372,0,0
WAVE,0.84,0.39956,0.40893,0,0
WAVE,0.86,0.4075,0.41736,0,0
WAVE,0.88,0.41593,0.43143,0,0
WAVE,0.9,0.42582,0.45119,0,0
WAVE,0.92,0.43662,0.47416,0,0
WAVE,0.94,0.44904,0.50259,0,0
WAVE,0.96,0.46093,0.52783,0,0
WAVE,0.98,0.47134,0.54584,0,0
WAVE,1,0.48159,0.56285,0,0
ANGL,70,,,,
WAVE,0.3,0.38269,0.33077,0,0
WAVE,0.32,0.39412,0.33865,0,0
WAVE,0.34,0.40304,0.34573,0,0
WAVE,0.36,0.40725,0.35078,0,0
WAVE,0.38,0.41608,0.3626,0,0
WAVE,0.4,0.4264,0.36648,0,0
WAVE,0.42,0.43489,0.36648,0,0
WAVE,0.44,0.43967,0.3648,0,0
WAVE,0.46,0.43942,0.36033,0,0
WAVE,0.48,0.43479,0.35373,0,0
WAVE,0.5,0.42487,0.34853,0,0
WAVE,0.52,0.41727,0.34871,0,0
WAVE,0.54,0.40594,0.34789,0,0
WAVE,0.56,0.40162,0.35703,0,0
WAVE,0.58,0.40435,0.37373,0,0
WAVE,0.6,0.41207,0.39156,0,0
WAVE,0.62,0.42371,0.40932,0,0
WAVE,0.64,0.43901,0.42444,0,0
WAVE,0.66,0.4546,0.43744,0,0
WAVE,0.68,0.46988,0.44813,0,0
WAVE,0.7,0.48344,0.45486,0,0
WAVE,0.72,0.49558,0.45733,0,0
WAVE,0.74,0.50604,0.45378,0,0
WAVE,0.76,0.51475,0.44655,0,0
WAVE,0.78,0.5224,0.43872,0,0
WAVE,0.8,0.52779,0.42839,0,0
WAVE,0.82,0.53296,0.42783,0,0
WAVE,0.84,0.53905,0.43129,0,0
WAVE,0.86,0.5457,0.43948,0,0
WAVE,0.88,0.55273,0.45617,0,0
WAVE,0.9,0.56098,0.47988,0,0
WAVE,0.92,0.56997,0.5075,0,0
WAVE,0.94,0.58029,0.54148,0,0
WAVE,0.96,0.59013,0.5708,0,0
WAVE,0.98,0.59871,0.58948,0,0
WAVE,1,0.60714,0.60704,0,0
ANGL,80,,,,
WAVE,0.3,0.64479,0.57547,0,0
WAVE,0.32,0.64977,0.57809,0,0
WAVE,0.34,0.6537,0.57681,0,0
WAVE,0.36,0.65464,0.57245,0,0
WAVE,0.38,0.65943,0.57236,0,0
WAVE,0.4,0.66548,0.56584,0,0
WAVE,0.42,0.67036,0.55653,0,0
WAVE,0.44,0.67272,0.5462,0,0
WAVE,0.46,0.67157,0.53409,0,0
WAVE,0.48,0.66734,0.52092,0,0
WAVE,0.5,0.65931,0.50923,0,0
WAVE,0.52,0.65302,0.50152,0,0
WAVE,0.54,0.64391,0.49324,0,0
WAVE,0.56,0.64014,0.49136,0,0
WAVE,0.58,0.64173,0.49403,0,0
WAVE,0.6,0.64704,0.49689,0,0
WAVE,0.62,0.65518,0.49955,0,0
WAVE,0.64,0.66594,0.49987,0,0
WAVE,0.66,0.67677,0.49882,0,0
WAVE,0.68,0.68727,0.49578,0,0
WAVE,0.7,0.69646,0.48906,0,0
WAVE,0.72,0.7046,0.47806,0,0
WAVE,0.74,0.71156,0.46153,0,0
WAVE,0.76,0.71731,0.4436,0,0
WAVE,0.78,0.72232,0.4278,0,0
WAVE,0.8,0.72581,0.41191,0,0
WAVE,0.82,0.72915,0.41148,0,0
WAVE,0.84,0.73309,0.41621,0,0
WAVE,0.86,0.73739,0.42682,0,0
WAVE,0.88,0.74192,0.44827,0,0
WAVE,0.9,0.74722,0.47605,0,0
WAVE,0.92,0.75298,0.50731,0,0
WAVE,0.94,0.75957,0.54348,0,0
WAVE,0.96,0.76581,0.57377,0,0
WAVE,0.98,0.77123,0.58998,0,0
WAVE,1,0.77653,0.60542,0,0
