TABLE  ,LTM_Filter,,,,
WAVE,0.78,0.1423,0.17283,5.03E-08,1.40E-07
WAVE,0.8,0.15371,0.17773,8.42E-08,2.42E-07
WAVE,0.82,0.16412,0.18225,1.52E-07,4.19E-07
WAVE,0.84,0.17383,0.1877,2.30E-07,6.61E-07
WAVE,0.86,0.18315,0.19383,3.58E-07,1.01E-06
WAVE,0.88,0.19192,0.2006,5.06E-07,1.41E-06
WAVE,0.9,0.20065,0.20922,6.04E-07,1.65E-06
WAVE,0.92,0.20978,0.2191,5.92E-07,1.73E-06
WAVE,0.94,0.21987,0.23127,5.13E-07,1.50E-06
WAVE,0.96,0.23041,0.24304,4.86E-07,1.34E-06
WAVE,0.98,0.24096,0.25326,4.22E-07,1.17E-06
WAVE,1,0.25174,0.26334,3.45E-07,1.02E-06
,,,,,
,,,,,
ANGL,70,,,,
WAVE,0.3,0.2251,0.34357,5.41E-08,2.69E-07
WAVE,0.32,0.23483,0.17159,3.36E-08,1.99E-07
WAVE,0.34,0.21126,0.079133,2.57E-08,1.52E-07
WAVE,0.36,0.17071,0.047159,2.12E-08,1.17E-07
WAVE,0.38,0.13577,0.043539,1.87E-08,9.72E-08
WAVE,0.4,0.094569,0.063786,1.70E-08,7.98E-08
WAVE,0.42,0.057663,0.093506,1.55E-08,6.58E-08
WAVE,0.44,0.034929,0.12194,1.40E-08,5.56E-08
WAVE,0.46,0.031397,0.14418,1.32E-08,4.83E-08
WAVE,0.48,0.047957,0.15905,1.17E-08,4.19E-08
WAVE,0.5,0.079816,0.16385,9.88E-09,3.79E-08
WAVE,0.52,0.1142,0.16595,9.52E-09,3.57E-08
WAVE,0.54,0.15249,0.16254,8.86E-09,3.44E-08
WAVE,0.56,0.17768,0.16213,7.99E-09,3.31E-08
WAVE,0.58,0.18898,0.16693,7.92E-09,3.38E-08
WAVE,0.6,0.19409,0.17693,8.84E-09,3.57E-08
WAVE,0.62,0.19632,0.19144,9.32E-09,3.71E-08
WAVE,0.64,0.19913,0.20984,1.02E-08,3.90E-08
WAVE,0.66,0.20339,0.22871,1.06E-08,4.06E-08
WAVE,0.68,0.21,0.24718,1.19E-08,4.23E-08
WAVE,0.7,0.21867,0.26357,1.29E-08,4.50E-08
WAVE,0.72,0.22882,0.278,1.42E-08,4.91E-08
WAVE,0.74,0.24108,0.28972,1.79E-08,6.08E-08
WAVE,0.76,0.25457,0.29861,2.59E-08,8.71E-08
WAVE,0.78,0.26812,0.30568,3.98E-08,1.36E-07
WAVE,0.8,0.28198,0.30956,6.63E-08,2.37E-07
WAVE,0.82,0.29444,0.31321,1.12E-07,4.03E-07
WAVE,0.84,0.30581,0.31796,1.78E-07,6.46E-07
WAVE,0.86,0.31651,0.32353,2.93E-07,9.91E-07
WAVE,0.88,0.32643,0.33003,3.92E-07,1.36E-06
WAVE,0.9,0.33606,0.33864,4.63E-07,1.60E-06
WAVE,0.92,0.34594,0.34853,5.00E-07,1.71E-06
WAVE,0.94,0.35662,0.36075,3.94E-07,1.47E-06
WAVE,0.96,0.36763,0.37217,3.43E-07,1.28E-06
WAVE,0.98,0.3786,0.38154,3.17E-07,1.13E-06
WAVE,1,0.38966,0.39059,2.88E-07,1.02E-06
,,,,,
,,,,,
ANGL,80,,,,
WAVE,0.3,0.48525,0.53353,2.72E-08,1.72E-07
WAVE,0.32,0.46814,0.36463,1.83E-08,1.44E-07
WAVE,0.34,0.42557,0.25874,1.55E-08,1.20E-07
WAVE,0.36,0.36955,0.22582,1.32E-08,9.42E-08
WAVE,0.38,0.3221,0.23013,1.25E-08,7.97E-08
WAVE,0.4,0.26778,0.26829,1.18E-08,6.43E-08
WAVE,0.42,0.22198,0.31482,1.18E-08,5.23E-08
WAVE,0.44,0.19971,0.35468,1.03E-08,4.33E-08
WAVE,0.46,0.20765,0.38343,9.83E-09,3.71E-08
WAVE,0.48,0.24292,0.40123,8.16E-09,3.17E-08
WAVE,0.5,0.29411,0.40652,7.20E-09,2.93E-08
WAVE,0.52,0.34199,0.4087,5.95E-09,2.71E-08
WAVE,0.54,0.38997,0.40429,5.60E-09,2.64E-08
WAVE,0.56,0.41968,0.40465,4.99E-09,2.55E-08
WAVE,0.58,0.43315,0.41209,5.45E-09,2.63E-08
WAVE,0.6,0.43964,0.42514,5.75E-09,2.75E-08
WAVE,0.62,0.44285,0.44231,6.16E-09,2.81E-08
WAVE,0.64,0.44641,0.46224,6.79E-09,2.93E-08
WAVE,0.66,0.45129,0.48153,6.98E-09,3.03E-08
WAVE,0.68,0.45837,0.49942,7.23E-09,3.09E-08
WAVE,0.7,0.46736,0.51457,7.72E-09,3.25E-08
WAVE,0.72,0.47763,0.5273,9.17E-09,3.56E-08
WAVE,0.74,0.48976,0.53706,1.03E-08,4.35E-08
WAVE,0.76,0.50282,0.54394,1.63E-08,6.26E-08
WAVE,0.78,0.51567,0.54905,2.33E-08,9.71E-08
WAVE,0.8,0.52862,0.55122,4.05E-08,1.71E-07
WAVE,0.82,0.54005,0.55338,7.28E-08,2.92E-07
WAVE,0.84,0.55027,0.55655,1.08E-07,4.66E-07
WAVE,0.86,0.55972,0.56048,1.62E-07,7.03E-07
WAVE,0.88,0.56834,0.56536,2.46E-07,9.79E-07
WAVE,0.9,0.57656,0.57209,2.79E-07,1.14E-06
WAVE,0.92,0.58483,0.57982,2.76E-07,1.21E-06
WAVE,0.94,0.5936,0.58936,2.34E-07,1.05E-06
WAVE,0.96,0.60253,0.59798,2.23E-07,9.25E-07
WAVE,0.98,0.61134,0.60463,1.86E-07,8.06E-07
WAVE,1,0.62011,0.61089,1.71E-07,7.24E-07
